Ticker,Mean,purchasePrice,category,name
TRNO.NYSE,4.123080311885241e-05,60.945,Residential & Commercial REIT,Terreno Realty Corp
NTAP.NAS,2.622318758102593e-05,71.91,"Computers, Phones & Household Electronics",NetApp
ADT.NYSE,2.2354652046974177e-05,7.228,Communications & Networking,ADT Inc.
MPLX.NYSE,1.9848337258543403e-05,32.346,Oil & Gas Midstream,MPLX LP Common Units Representing Limited Partner Interests
NERV.NAS,0.7257161572816346,10.135,Biotechnology & Medical Research,Minerva Neurosciences Inc
DAWN.NAS,0.5545285350555056,23.795,Biotechnology & Medical Research,Day One Biopharmaceuticals Inc
ALT.NAS,0.5499945244250928,21.705,Biotechnology,Altimmune Inc
AXSM.NAS,0.29155886346442395,62.575,Biotechnology & Medical Research,Axsome Therapeutics Inc
CLVS.NAS,0.28332127336665813,1.158,Biotechnology & Medical Research,Clovis Oncology Inc
ONEM.NAS,0.27935356058856736,17.325,Healthcare Providers & Services,1Life Healthcare Inc
SRG.NYSE,0.2535801686933077,12.68,Residential & Commercial REIT,Seritage Growth Properties
ALDX.NAS,0.23639458442840125,7.115,Biotechnology & Medical Research,Aldeyra Therapeutics Inc
MRTX.NAS,0.23215680279610912,81.782,Biotechnology & Medical Research,Mirati Therapeutics Inc. Common Stock
SGFY.NYSE,0.23084764012623926,28.281,Healthcare Providers & Services,Signify Health Inc
EDU.NYSE,0.22242964809584487,27.587,Miscellaneous Educational Service Providers,New Oriental Education & Techn
BLUE.NAS,0.2203419456038626,6.535,Biotechnology & Medical Research,Bluebird Bio Inc
APRN.NYSE,0.21134367305606447,5.038,Food & Tobacco,"Blue Apron Holdings, Inc."
SELB.NAS,0.21120720587898778,1.838,Biotechnology & Medical Research,"Selecta Biosciences, Inc"
RGS.NYSE,0.21110908526553984,1.369,Personal & Household Products & Services,Regis Corp
MARA.NAS,0.20968249000955128,11.469,Financial Technology (Fintech) & Infrastructure,Marathon Digital Holdings Inc
ALVR.NAS,0.20931242541793063,7.497,Biotechnology & Medical Research,Allovir Inc
GOSS.NAS,0.19643037857539214,14.545,Biotechnology & Medical Research,Gossamer Bio Inc
CPRX.NAS,0.1911549483511588,13.887,Pharmaceuticals,Catalyst Pharmaceutical Partners Inc
GERN.NAS,0.18644315861773908,2.658,Biotechnology & Medical Research,Geron Corp
STEM.NYSE,0.17600283851948692,14.339,"Machinery, Equipment & Components",Stem Inc
FSLR.NAS,0.1753874136393179,127.25,Renewable Energy,First Solar Inc. Common Stock
CBAY.NAS,0.1741029417864602,3.55,Biotechnology & Medical Research,CymaBay Therapeutics Inc
PGEN.NAS,0.1727165552227775,2.286,Pharmaceuticals,Pregicen Inc
WTRH.NAS,0.17140233061285695,0.232,Software & IT Services,Waitr Holdings Inc.
IFRX.NAS,0.16776379042794143,2.26,Biotechnology & Medical Research,Inflarx NV
COMM.NAS,0.1665052081114457,11.985,Oil & Gas Midstream,CommScope Holding Co Inc
SWAV.NAS,0.1631671435444303,295.92,Healthcare Equipment & Supplies,Shockwave Medical Inc.
BLFS.NAS,0.15420704807677957,23.58,Healthcare Equipment & Supplies,Biolife Solutions Inc
TUP.NYSE,0.15282482342420145,11.404,Household Goods,Tupperware Brands Corp
MCRB.NAS,0.14988829699066103,5.195,Biotechnology & Medical Research,Seres Therapeutics Inc
CALX.NYSE,0.14915169290220215,57.55,Communications & Networking,Calix Inc
OCUL.NAS,0.14539815420446367,5.265,Pharmaceuticals,Ocular Therapeutix Inc
ALNY.NAS,0.14449113174558748,210.48,Biotechnology & Medical Research,Alnylam Pharmaceuticals Inc. Common Stock
PRTY.NYSE,0.13959181575988724,2.134,Specialty Retailers,Party City Holdco Inc
VHC.NYSE,0.1360136313428031,1.9180000000000001,Software & IT Services,VirnetX Holding Corp
SPPI.NAS,0.13244643583826404,1.17,Biotechnology & Medical Research,Spectrum Pharmaceuticals Inc
