Ticker,Category
AR.NYSE,Oil & Gas E&P
PBT.NYSE,Oil & Gas Midstream
COMM.NAS,Oil & Gas Midstream
SM.NYSE,Oil & Gas E&P
XOM.NYSE,Oil & Gas Integrated
DVN.NYSE,Oil & Gas E&P
VLO.NYSE,Oil & Gas Refining & Marketing
FTI.NYSE,Oil & Gas Equipment & Services
MGY.NYSE,Oil & Gas E&P
AMR.NYSE,Coking Coal
MTB.NYSE,Banks—Regional
CHS.NYSE,Apparel Retail
PM.NYSE,Tobacco
CLI.NYSE,Oil & Gas Midstream
ENPC.NYSE,Shell Companies
STNG.NYSE,Oil & Gas Midstream
WTI.NYSE,Oil & Gas E&P
EQT.NYSE,Oil & Gas E&P
DK.NYSE,Oil & Gas Refining & Marketing
LPI.NYSE,Oil & Gas E&P
MTDR.NYSE,Oil & Gas E&P
TTI.NYSE,Oil & Gas Equipment & Services
PTEN.NAS,Oil & Gas Drilling
KLAC.NAS,Semiconductor Equipment & Materials
OLN.NYSE,Specialty Chemicals
TDW.NYSE,Oil & Gas Equipment & Services
XLE.NYSE,Equity Energy
TEL.NYSE,Electronic Components
COP.NYSE,Oil & Gas E&P
MPWR.NAS,Semiconductors
AAPL.NAS,"Computers, Phones & Household Electronics"
ADBE.NAS,Software & IT Services
ADI.NAS,Semiconductors & Semiconductor Equipment
ADP.NAS,Software & IT Services
AMAT.NAS,Semiconductors & Semiconductor Equipment
AMGN.NAS,Pharmaceuticals
AMZN.NAS,Diversified Retail
ATVI.NAS,Software & IT Services
AVGO.NAS,Semiconductors & Semiconductor Equipment
BKNG.NAS,Hotels & Entertainment Services
BIIB.NAS,Pharmaceuticals
CELG.NAS,Pharmaceuticals
CHTR.NAS,Telecommunications Services
CMCSA.NAS,Media & Publishing
CME.NAS,Investment Banking & Investment Services
COST.NAS,Diversified Retail
CRON.NAS,Pharmaceuticals
CSCO.NAS,Communications & Networking
CSX.NAS,Freight & Logistics Services
CTSH.NAS,Software & IT Services
DISH.NAS,Media & Publishing
EQIX.NAS,Residential & Commercial REIT
FOX.NAS,Media & Publishing
FOXA.NAS,Media & Publishing
GILD.NAS,Biotechnology & Medical Research
GOOG.NAS,Software & IT Services
INTC.NAS,Semiconductors & Semiconductor Equipment
INTU.NAS,Financial Technology (Fintech) & Infrastructure
ISRG.NAS,Healthcare Equipment & Supplies
KHC.NAS,Food & Tobacco
MAR.NAS,Hotels & Entertainment Services
MDLZ.NAS,Food & Tobacco
MSFT.NAS,Software & IT Services
NFLX.NAS,Software & IT Services
NVDA.NAS,Semiconductors & Semiconductor Equipment
PEP.NAS,Beverages
PYPL.NAS,Software & IT Services
QCOM.NAS,Semiconductors & Semiconductor Equipment
REGN.NAS,Biotechnology & Medical Research
SBUX.NAS,Hotels & Entertainment Services
TLRY.NAS,Pharmaceuticals
TMUS.NAS,Telecommunications Services
TSLA.NAS,Automobiles & Auto Parts
TXN.NAS,Semiconductors & Semiconductor Equipment
VRTX.NAS,Biotechnology & Medical Research
WBA.NAS,Food & Drug Retailing
ABBV.NYSE,Pharmaceuticals
ABT.NYSE,Healthcare Equipment & Supplies
ACB.NYSE,Pharmaceuticals
AGN.NYSE,Insurance
AXP.NYSE,Banking Services
BAC.NYSE,Banking Services
BLK.NYSE,Investment Banking & Investment Services
BMY.NYSE,Pharmaceuticals
CGC.NYSE,Pharmaceuticals
CVX.NYSE,Oil & Gas
DIS.NYSE,Media & Publishing
DOW.NYSE,Chemicals
HON.NYSE,Consumer Goods Conglomerates
IBM.NYSE,Software & IT Services
JNJ.NYSE,Pharmaceuticals
JPM.NYSE,Banking Services
LLY.NYSE,Pharmaceuticals
LMT.NYSE,Aerospace & Defense
MCD.NYSE,Hotels & Entertainment Services
MMM.NYSE,Consumer Goods Conglomerates
MRK.NYSE,Pharmaceuticals
NKE.NYSE,Textiles & Apparel
ORCL.NYSE,Software & IT Services
PFE.NYSE,Pharmaceuticals
SLB.NYSE,Oil & Gas Related Equipment and Services
SPOT.NYSE,Software & IT Services
UNH.NYSE,Healthcare Providers & Services
UNP.NYSE,Freight & Logistics Services
UPS.NYSE,Freight & Logistics Services
USB.NYSE,Banking Services
WFC.NYSE,Banking Services
WMT.NYSE,Food & Drug Retailing
XOM.NYSE,Oil & Gas
VXX.NYSE,Banking Services
DEO.NYSE,Beverages
NEE.NYSE,Electrical Utilities & IPPs
AMT.NYSE,Residential & Commercial REIT
BABA.NYSE,Software & IT Services
TMO.NYSE,Healthcare Equipment & Supplies
LYFT.NAS,Software & IT Services
UBER.NYSE,Software & IT Services
PINS.NYSE,Software & IT Services
ABMD.NAS,Healthcare Equipment & Supplies
AMD.NAS,Semiconductors & Semiconductor Equipment
AKAM.NAS,Software & IT Services
ALGN.NAS,Healthcare Equipment & Supplies
LNT.NAS,Electrical Utilities & IPPs
AAL.NAS,Passenger Transportation Services
AEP.NAS,Electrical Utilities & IPPs
ANSS.NAS,Software & IT Services
APA.NAS,Oil & Gas
ADSK.NAS,Software & IT Services
CHRW.NAS,Freight & Logistics Services
CDNS.NAS,Software & IT Services
CDW.NAS,Software & IT Services
CINF.NAS,Insurance
CTAS.NAS,Professional & Commercial Services
CTXS.NAS,Software & IT Services
CPRT.NAS,Specialty Retailers
AAP.NYSE,Specialty Retailers
AES.NYSE,Electrical Utilities & IPPs
AFL.NYSE,Insurance
APD.NYSE,Chemicals
ALK.NYSE,Passenger Transportation Services
ALLE.NYSE,Communications & Networking
AMCR.NYSE,Containers & Packaging
AEE.NYSE,Multiline Utilities
AIG.NYSE,Insurance
AWK.NYSE,Water Utilities
AMP.NYSE,Investment Banking & Investment Services
ABC.NYSE,Healthcare Equipment & Supplies
AME.NYSE,"Machinery, Equipment & Components"
APH.NYSE,Electronic Equipment & Parts
AON.NYSE,Insurance
AOS.NYSE,"Machinery, Equipment & Components"
APTV.NYSE,Automobiles & Auto Parts
ANET.NYSE,Communications & Networking
AJG.NYSE,Insurance
AIZ.NYSE,Insurance
ATO.NYSE,Natural Gas Utilities
AZO.NYSE,Specialty Retailers
AVB.NYSE,Residential & Commercial REIT
AVY.NYSE,Containers & Packaging
BKR.NYSE,Oil & Gas Related Equipment and Services
BLL.NYSE,Containers & Packaging
BAX.NYSE,Healthcare Equipment & Supplies
BDX.NYSE,Healthcare Equipment & Supplies
BBY.NYSE,Specialty Retailers
BWA.NYSE,Automobiles & Auto Parts
BXP.NYSE,Residential & Commercial REIT
BSX.NYSE,Healthcare Equipment & Supplies
CPB.NYSE,Food & Tobacco
COF.NYSE,Banking Services
CAH.NYSE,Food & Drug Retailing
KMX.NYSE,Specialty Retailers
CCL.NYSE,Hotels & Entertainment Services
CARR.NYSE,"Machinery, Equipment & Components"
CTLT.NYSE,Pharmaceuticals
CBRE.NYSE,Real Estate Operations
CNC.NYSE,Healthcare Providers & Services
CNP.NYSE,Multiline Utilities
SCHW.NYSE,Investment Banking & Investment Services
CMG.NYSE,Hotels & Entertainment Services
CHD.NYSE,Personal & Household Products & Services
CFG.NYSE,Banking Services
CLX.NYSE,Personal & Household Products & Services
CMS.NYSE,Multiline Utilities
CMA.NYSE,Banking Services
CAG.NYSE,Food & Tobacco
COP.NYSE,Oil & Gas
STZ.NYSE,Beverages
COO.NYSE,Healthcare Equipment & Supplies
GLW.NYSE,Electronic Equipment & Parts
CTVA.NYSE,Food & Tobacco
CCI.NYSE,Residential & Commercial REIT
CMI.NYSE,Automobiles & Auto Parts
DHI.NYSE,Homebuilding & Construction Supplies
DHR.NYSE,Healthcare Equipment & Supplies
DRI.NYSE,Hotels & Entertainment Services
DVA.NYSE,Healthcare Providers & Services
ACN.NYSE,Software & IT Services
BF/B.NYSE,Food & Tobacco
XRAY.NAS,Healthcare Equipment & Supplies
DVN.NYSE,Oil & Gas
DXCM.NAS,Healthcare Equipment & Supplies
FANG.NAS,Oil & Gas
DLR.NYSE,Residential & Commercial REIT
DFS.NYSE,Banking Services
DLTR.NAS,Diversified Retail
DPZ.NYSE,Hotels & Entertainment Services
DOV.NYSE,"Machinery, Equipment & Components"
DTE.NYSE,Electrical Utilities & IPPs
DUK.NYSE,Electrical Utilities & IPPs
DRE.NYSE,Residential & Commercial REIT
DXC.NYSE,Software & IT Services
EMN.NYSE,Chemicals
ETN.NYSE,"Machinery, Equipment & Components"
ECL.NYSE,Chemicals
EIX.NYSE,Electrical Utilities & IPPs
