time,bid,ask,last,volume,time_msc,flags,volume_real,difbidask,thedate
0,0.0,0.0,0.0,0,0,0,0.0,0.0,1970-01-01 07:00:00
1661973247,0.5982,0.59826,0.0,0,1661973247313,2,0.0,0.060000000000060005,2022-09-01 02:14:07
1661973247,0.59821,0.59826,0.0,0,1661973247803,6,0.0,0.04999999999999449,2022-09-01 02:14:07
1661973250,0.59819,0.59824,0.0,0,1661973250917,6,0.0,0.04999999999999449,2022-09-01 02:14:10
1661973253,0.59816,0.59821,0.0,0,1661973253137,6,0.0,0.04999999999999449,2022-09-01 02:14:13
1661973254,0.59818,0.59823,0.0,0,1661973254319,6,0.0,0.04999999999999449,2022-09-01 02:14:14
1661973257,0.59817,0.59822,0.0,0,1661973257292,2,0.0,0.04999999999999449,2022-09-01 02:14:17
1661973258,0.59816,0.59821,0.0,0,1661973258232,6,0.0,0.04999999999999449,2022-09-01 02:14:18
1661973259,0.59818,0.59823,0.0,0,1661973259653,6,0.0,0.04999999999999449,2022-09-01 02:14:19
1661973262,0.59819,0.59824,0.0,0,1661973262710,2,0.0,0.04999999999999449,2022-09-01 02:14:22
1661973265,0.5982,0.59824,0.0,0,1661973265002,2,0.0,0.040000000000040004,2022-09-01 02:14:25
1661973266,0.59819,0.59823,0.0,0,1661973266905,4,0.0,0.040000000000040004,2022-09-01 02:14:26
1661973268,0.5982,0.59825,0.0,0,1661973268756,6,0.0,0.04999999999999449,2022-09-01 02:14:28
1661973271,0.59817,0.59823,0.0,0,1661973271313,6,0.0,0.060000000000060005,2022-09-01 02:14:31
1661973271,0.59818,0.59823,0.0,0,1661973271768,2,0.0,0.04999999999999449,2022-09-01 02:14:31
1661973275,0.59818,0.59823,0.0,0,1661973275356,2,0.0,0.04999999999999449,2022-09-01 02:14:35
1661973277,0.59818,0.59823,0.0,0,1661973277110,2,0.0,0.04999999999999449,2022-09-01 02:14:37
1661973278,0.59818,0.59822,0.0,0,1661973278467,4,0.0,0.03999999999992898,2022-09-01 02:14:38
1661973278,0.59818,0.59822,0.0,0,1661973278467,4,0.0,0.03999999999992898,2022-09-01 02:14:38
1661973278,0.59818,0.59822,0.0,0,1661973278467,4,0.0,0.03999999999992898,2022-09-01 02:14:38
1661973283,0.59816,0.59821,0.0,0,1661973283862,4,0.0,0.04999999999999449,2022-09-01 02:14:43
1661973287,0.59818,0.59822,0.0,0,1661973287229,6,0.0,0.03999999999992898,2022-09-01 02:14:47
1661973287,0.59818,0.59822,0.0,0,1661973287229,6,0.0,0.03999999999992898,2022-09-01 02:14:47
1661973290,0.59819,0.59823,0.0,0,1661973290795,2,0.0,0.040000000000040004,2022-09-01 02:14:50
1661973293,0.59818,0.59822,0.0,0,1661973293493,6,0.0,0.03999999999992898,2022-09-01 02:14:53
1661973295,0.59819,0.59824,0.0,0,1661973295356,4,0.0,0.04999999999999449,2022-09-01 02:14:55
1661973297,0.59819,0.59823,0.0,0,1661973297253,4,0.0,0.040000000000040004,2022-09-01 02:14:57
1661973299,0.5982,0.59824,0.0,0,1661973299564,2,0.0,0.040000000000040004,2022-09-01 02:14:59
1661973301,0.5982,0.59825,0.0,0,1661973301609,6,0.0,0.04999999999999449,2022-09-01 02:15:01
1661973302,0.5982,0.59824,0.0,0,1661973302363,4,0.0,0.040000000000040004,2022-09-01 02:15:02
1661973304,0.5982,0.59824,0.0,0,1661973304908,6,0.0,0.040000000000040004,2022-09-01 02:15:04
1661973304,0.5982,0.59824,0.0,0,1661973304908,6,0.0,0.040000000000040004,2022-09-01 02:15:04
1661973309,0.59818,0.59822,0.0,0,1661973309143,4,0.0,0.03999999999992898,2022-09-01 02:15:09
1661973311,0.59818,0.59823,0.0,0,1661973311454,4,0.0,0.04999999999999449,2022-09-01 02:15:11
1661973313,0.59819,0.59825,0.0,0,1661973313502,6,0.0,0.05999999999994898,2022-09-01 02:15:13
1661973313,0.59819,0.59825,0.0,0,1661973313502,6,0.0,0.05999999999994898,2022-09-01 02:15:13
1661973316,0.59822,0.59825,0.0,0,1661973316910,2,0.0,0.02999999999997449,2022-09-01 02:15:16
1661973319,0.5982,0.59825,0.0,0,1661973319495,2,0.0,0.04999999999999449,2022-09-01 02:15:19
1661973321,0.59821,0.59824,0.0,0,1661973321753,4,0.0,0.02999999999997449,2022-09-01 02:15:21
1661973322,0.59821,0.59825,0.0,0,1661973322558,6,0.0,0.03999999999992898,2022-09-01 02:15:22
1661973325,0.59824,0.59828,0.0,0,1661973325493,6,0.0,0.040000000000040004,2022-09-01 02:15:25
1661973327,0.59825,0.59828,0.0,0,1661973327350,2,0.0,0.030000000000085514,2022-09-01 02:15:27
1661973329,0.59824,0.59827,0.0,0,1661973329716,4,0.0,0.02999999999997449,2022-09-01 02:15:29
1661973331,0.59824,0.59827,0.0,0,1661973331757,4,0.0,0.02999999999997449,2022-09-01 02:15:31
1661973333,0.59825,0.59829,0.0,0,1661973333397,6,0.0,0.040000000000040004,2022-09-01 02:15:33
1661973333,0.59825,0.59829,0.0,0,1661973333397,6,0.0,0.040000000000040004,2022-09-01 02:15:33
1661973333,0.59825,0.59829,0.0,0,1661973333397,6,0.0,0.040000000000040004,2022-09-01 02:15:33
1661973338,0.59822,0.59825,0.0,0,1661973338986,4,0.0,0.02999999999997449,2022-09-01 02:15:38
1661973341,0.59824,0.59827,0.0,0,1661973341735,6,0.0,0.02999999999997449,2022-09-01 02:15:41
1661973343,0.59826,0.59828,0.0,0,1661973343453,2,0.0,0.020000000000020002,2022-09-01 02:15:43
1661973343,0.59826,0.5983,0.0,0,1661973343942,4,0.0,0.040000000000040004,2022-09-01 02:15:43
1661973347,0.59819,0.59823,0.0,0,1661973347749,6,0.0,0.040000000000040004,2022-09-01 02:15:47
1661973349,0.5982,0.59826,0.0,0,1661973349383,6,0.0,0.060000000000060005,2022-09-01 02:15:49
1661973351,0.5982,0.59824,0.0,0,1661973351415,6,0.0,0.040000000000040004,2022-09-01 02:15:51
1661973352,0.5982,0.59825,0.0,0,1661973352897,4,0.0,0.04999999999999449,2022-09-01 02:15:52
1661973355,0.59819,0.59824,0.0,0,1661973355802,6,0.0,0.04999999999999449,2022-09-01 02:15:55
1661973357,0.59823,0.59826,0.0,0,1661973357680,6,0.0,0.02999999999997449,2022-09-01 02:15:57
1661973359,0.59824,0.59828,0.0,0,1661973359191,6,0.0,0.040000000000040004,2022-09-01 02:15:59
1661973361,0.5982,0.59824,0.0,0,1661973361778,2,0.0,0.040000000000040004,2022-09-01 02:16:01
1661973362,0.59821,0.59824,0.0,0,1661973362468,2,0.0,0.02999999999997449,2022-09-01 02:16:02
1661973362,0.59821,0.59824,0.0,0,1661973362468,2,0.0,0.02999999999997449,2022-09-01 02:16:02
1661973362,0.59821,0.59824,0.0,0,1661973362468,2,0.0,0.02999999999997449,2022-09-01 02:16:02
1661973368,0.59821,0.59826,0.0,0,1661973368349,4,0.0,0.04999999999999449,2022-09-01 02:16:08
1661973371,0.59817,0.59822,0.0,0,1661973371263,2,0.0,0.04999999999999449,2022-09-01 02:16:11
1661973373,0.59815,0.59821,0.0,0,1661973373817,2,0.0,0.060000000000060005,2022-09-01 02:16:13
1661973375,0.59815,0.5982,0.0,0,1661973375875,6,0.0,0.04999999999999449,2022-09-01 02:16:15
1661973377,0.59814,0.5982,0.0,0,1661973377830,6,0.0,0.05999999999994898,2022-09-01 02:16:17
1661973378,0.59815,0.59821,0.0,0,1661973378098,6,0.0,0.060000000000060005,2022-09-01 02:16:18
1661973381,0.5982,0.59827,0.0,0,1661973381870,6,0.0,0.0700000000000145,2022-09-01 02:16:21
1661973383,0.59821,0.59827,0.0,0,1661973383126,6,0.0,0.05999999999994898,2022-09-01 02:16:23
1661973385,0.59821,0.59827,0.0,0,1661973385427,6,0.0,0.05999999999994898,2022-09-01 02:16:25
1661973386,0.5982,0.59826,0.0,0,1661973386205,6,0.0,0.060000000000060005,2022-09-01 02:16:26
1661973388,0.59821,0.59827,0.0,0,1661973388826,6,0.0,0.05999999999994898,2022-09-01 02:16:28
1661973392,0.59819,0.59825,0.0,0,1661973392001,2,0.0,0.05999999999994898,2022-09-01 02:16:32
1661973393,0.59821,0.59827,0.0,0,1661973393623,6,0.0,0.05999999999994898,2022-09-01 02:16:33
1661973394,0.59819,0.59824,0.0,0,1661973394741,6,0.0,0.04999999999999449,2022-09-01 02:16:34
1661973397,0.59819,0.59825,0.0,0,1661973397845,4,0.0,0.05999999999994898,2022-09-01 02:16:37
1661973399,0.59819,0.59824,0.0,0,1661973399728,4,0.0,0.04999999999999449,2022-09-01 02:16:39
1661973399,0.59819,0.59824,0.0,0,1661973399728,4,0.0,0.04999999999999449,2022-09-01 02:16:39
1661973404,0.59817,0.59823,0.0,0,1661973404129,6,0.0,0.060000000000060005,2022-09-01 02:16:44
1661973405,0.59817,0.59823,0.0,0,1661973405534,6,0.0,0.060000000000060005,2022-09-01 02:16:45
1661973407,0.59816,0.59821,0.0,0,1661973407929,6,0.0,0.04999999999999449,2022-09-01 02:16:47
1661973408,0.59816,0.59822,0.0,0,1661973408238,4,0.0,0.05999999999994898,2022-09-01 02:16:48
1661973408,0.59816,0.59822,0.0,0,1661973408238,4,0.0,0.05999999999994898,2022-09-01 02:16:48
1661973408,0.59816,0.59822,0.0,0,1661973408238,4,0.0,0.05999999999994898,2022-09-01 02:16:48
1661973416,0.59817,0.59823,0.0,0,1661973416129,2,0.0,0.060000000000060005,2022-09-01 02:16:56
1661973418,0.59818,0.59824,0.0,0,1661973418059,2,0.0,0.05999999999994898,2022-09-01 02:16:58
1661973420,0.59818,0.59824,0.0,0,1661973420126,2,0.0,0.05999999999994898,2022-09-01 02:17:00
1661973421,0.59818,0.59824,0.0,0,1661973421341,4,0.0,0.05999999999994898,2022-09-01 02:17:01
1661973423,0.59819,0.59825,0.0,0,1661973423640,6,0.0,0.05999999999994898,2022-09-01 02:17:03
1661973423,0.59819,0.59825,0.0,0,1661973423640,6,0.0,0.05999999999994898,2022-09-01 02:17:03
1661973423,0.59819,0.59825,0.0,0,1661973423640,6,0.0,0.05999999999994898,2022-09-01 02:17:03
1661973429,0.59821,0.59827,0.0,0,1661973429166,4,0.0,0.05999999999994898,2022-09-01 02:17:09
1661973431,0.5982,0.59826,0.0,0,1661973431651,6,0.0,0.060000000000060005,2022-09-01 02:17:11
1661973433,0.59821,0.59827,0.0,0,1661973433612,6,0.0,0.05999999999994898,2022-09-01 02:17:13
1661973436,0.59823,0.59827,0.0,0,1661973436139,2,0.0,0.03999999999992898,2022-09-01 02:17:16
1661973436,0.59823,0.59827,0.0,0,1661973436139,2,0.0,0.03999999999992898,2022-09-01 02:17:16
1661973440,0.59822,0.59828,0.0,0,1661973440124,6,0.0,0.060000000000060005,2022-09-01 02:17:20
1661973441,0.59823,0.5983,0.0,0,1661973441603,4,0.0,0.0700000000000145,2022-09-01 02:17:21
1661973441,0.59823,0.5983,0.0,0,1661973441603,4,0.0,0.0700000000000145,2022-09-01 02:17:21
1661973445,0.59824,0.5983,0.0,0,1661973445453,2,0.0,0.060000000000060005,2022-09-01 02:17:25
1661973448,0.59823,0.59829,0.0,0,1661973448324,6,0.0,0.05999999999994898,2022-09-01 02:17:28
1661973450,0.5983,0.59836,0.0,0,1661973450268,6,0.0,0.05999999999994898,2022-09-01 02:17:30
1661973452,0.59831,0.59836,0.0,0,1661973452245,4,0.0,0.04999999999999449,2022-09-01 02:17:32
1661973452,0.59828,0.59834,0.0,0,1661973452473,6,0.0,0.05999999999994898,2022-09-01 02:17:32
1661973454,0.59826,0.59832,0.0,0,1661973454605,6,0.0,0.05999999999994898,2022-09-01 02:17:34
1661973458,0.59829,0.59835,0.0,0,1661973458398,4,0.0,0.060000000000060005,2022-09-01 02:17:38
1661973459,0.59827,0.59833,0.0,0,1661973459559,6,0.0,0.060000000000060005,2022-09-01 02:17:39
1661973461,0.59829,0.59834,0.0,0,1661973461849,6,0.0,0.04999999999999449,2022-09-01 02:17:41
1661973463,0.59828,0.59834,0.0,0,1661973463896,2,0.0,0.05999999999994898,2022-09-01 02:17:43
1661973465,0.5983,0.59835,0.0,0,1661973465989,6,0.0,0.04999999999999449,2022-09-01 02:17:45
1661973465,0.5983,0.59835,0.0,0,1661973465989,6,0.0,0.04999999999999449,2022-09-01 02:17:45
1661973469,0.59832,0.59838,0.0,0,1661973469981,4,0.0,0.060000000000060005,2022-09-01 02:17:49
1661973471,0.59834,0.59839,0.0,0,1661973471817,4,0.0,0.04999999999999449,2022-09-01 02:17:51
1661973474,0.59833,0.59839,0.0,0,1661973474001,6,0.0,0.05999999999994898,2022-09-01 02:17:54
1661973476,0.59834,0.59839,0.0,0,1661973476122,2,0.0,0.04999999999999449,2022-09-01 02:17:56
1661973476,0.59834,0.59839,0.0,0,1661973476122,2,0.0,0.04999999999999449,2022-09-01 02:17:56
1661973480,0.59832,0.59839,0.0,0,1661973480285,6,0.0,0.0700000000000145,2022-09-01 02:18:00
1661973482,0.5983,0.59837,0.0,0,1661973482218,2,0.0,0.06999999999990347,2022-09-01 02:18:02
1661973484,0.5983,0.59836,0.0,0,1661973484602,2,0.0,0.05999999999994898,2022-09-01 02:18:04
1661973485,0.5983,0.59835,0.0,0,1661973485968,4,0.0,0.04999999999999449,2022-09-01 02:18:05
1661973488,0.59831,0.59836,0.0,0,1661973488313,6,0.0,0.04999999999999449,2022-09-01 02:18:08
1661973489,0.59828,0.59834,0.0,0,1661973489680,6,0.0,0.05999999999994898,2022-09-01 02:18:09
1661973492,0.59828,0.59833,0.0,0,1661973492200,4,0.0,0.04999999999999449,2022-09-01 02:18:12
1661973493,0.59828,0.59834,0.0,0,1661973493761,4,0.0,0.05999999999994898,2022-09-01 02:18:13
1661973496,0.59826,0.59832,0.0,0,1661973496547,2,0.0,0.05999999999994898,2022-09-01 02:18:16
1661973497,0.59827,0.59833,0.0,0,1661973497176,6,0.0,0.060000000000060005,2022-09-01 02:18:17
1661973500,0.59828,0.59834,0.0,0,1661973500332,4,0.0,0.05999999999994898,2022-09-01 02:18:20
1661973500,0.59828,0.59834,0.0,0,1661973500332,4,0.0,0.05999999999994898,2022-09-01 02:18:20
1661973504,0.59826,0.59832,0.0,0,1661973504490,4,0.0,0.05999999999994898,2022-09-01 02:18:24
1661973505,0.59826,0.59832,0.0,0,1661973505961,2,0.0,0.05999999999994898,2022-09-01 02:18:25
1661973508,0.59826,0.59831,0.0,0,1661973508611,6,0.0,0.04999999999999449,2022-09-01 02:18:28
1661973510,0.59824,0.5983,0.0,0,1661973510145,2,0.0,0.060000000000060005,2022-09-01 02:18:30
1661973511,0.59823,0.59829,0.0,0,1661973511881,6,0.0,0.05999999999994898,2022-09-01 02:18:31
1661973514,0.59823,0.59829,0.0,0,1661973514505,6,0.0,0.05999999999994898,2022-09-01 02:18:34
1661973516,0.59821,0.59827,0.0,0,1661973516209,6,0.0,0.05999999999994898,2022-09-01 02:18:36
1661973518,0.59823,0.59828,0.0,0,1661973518588,4,0.0,0.04999999999999449,2022-09-01 02:18:38
1661973519,0.59824,0.59829,0.0,0,1661973519347,2,0.0,0.04999999999999449,2022-09-01 02:18:39
1661973519,0.59824,0.59829,0.0,0,1661973519347,2,0.0,0.04999999999999449,2022-09-01 02:18:39
1661973519,0.59824,0.59829,0.0,0,1661973519347,2,0.0,0.04999999999999449,2022-09-01 02:18:39
1661973519,0.59824,0.59829,0.0,0,1661973519347,2,0.0,0.04999999999999449,2022-09-01 02:18:39
1661973528,0.59822,0.59828,0.0,0,1661973528494,6,0.0,0.060000000000060005,2022-09-01 02:18:48
1661973528,0.59822,0.59828,0.0,0,1661973528494,6,0.0,0.060000000000060005,2022-09-01 02:18:48
1661973532,0.59823,0.59828,0.0,0,1661973532643,4,0.0,0.04999999999999449,2022-09-01 02:18:52
1661973532,0.59823,0.59828,0.0,0,1661973532643,4,0.0,0.04999999999999449,2022-09-01 02:18:52
1661973536,0.59826,0.5983,0.0,0,1661973536327,2,0.0,0.040000000000040004,2022-09-01 02:18:56
1661973537,0.59828,0.59833,0.0,0,1661973537537,4,0.0,0.04999999999999449,2022-09-01 02:18:57
1661973540,0.59827,0.59831,0.0,0,1661973540428,6,0.0,0.040000000000040004,2022-09-01 02:19:00
1661973542,0.59823,0.59827,0.0,0,1661973542234,6,0.0,0.03999999999992898,2022-09-01 02:19:02
1661973542,0.59823,0.59827,0.0,0,1661973542234,6,0.0,0.03999999999992898,2022-09-01 02:19:02
1661973546,0.59825,0.59832,0.0,0,1661973546286,4,0.0,0.0700000000000145,2022-09-01 02:19:06
1661973548,0.59825,0.59831,0.0,0,1661973548095,4,0.0,0.060000000000060005,2022-09-01 02:19:08
1661973551,0.59827,0.59833,0.0,0,1661973551042,6,0.0,0.060000000000060005,2022-09-01 02:19:11
1661973552,0.59825,0.59831,0.0,0,1661973552996,6,0.0,0.060000000000060005,2022-09-01 02:19:12
1661973552,0.59825,0.59831,0.0,0,1661973552996,6,0.0,0.060000000000060005,2022-09-01 02:19:12
1661973556,0.59826,0.59831,0.0,0,1661973556380,2,0.0,0.04999999999999449,2022-09-01 02:19:16
1661973558,0.59825,0.5983,0.0,0,1661973558695,2,0.0,0.050000000000105516,2022-09-01 02:19:18
