Name,Ticker,ISIN
Apple Inc CFD,AAPL.NAS,US0378331005
Adobe Systems CFD,ADBE.NAS,US00724F1012
Analog Devices CFD,ADI.NAS,US0326541051
Automatic Data Processing (ADP) CFD,ADP.NAS,US0530151036
Applied Materials CFD,AMAT.NAS,US0382221051
Amgen CFD,AMGN.NAS,US0311621009
Amazon.com CFD,AMZN.NAS,US0231351067
Activision Blizzard CFD,ATVI.NAS,US00507V1098
Broadcom Ltd CFD,AVGO.NAS,US11135F1012
Booking Holdings Inc CFD,BKNG.NAS,US09857L1089
Biogen Inc CFD,BIIB.NAS,US09062X1037
Celgene Corp CFD,CELG.NAS,
Charter Communications Inc CFD,CHTR.NAS,US16119P1084
Comcast Corp A CFD,CMCSA.NAS,US20030N1019
CME Group CFD,CME.NAS,US12572Q1058
Costco Wholesale CFD,COST.NAS,US22160K1051
Cronos Group Inc CFD,CRON.NAS,
Cisco Systems CFD,CSCO.NAS,US17275R1023
CSX Corp CFD,CSX.NAS,US1264081035
Cognizant Technology Solutions CFD,CTSH.NAS,US1924461023
Dish Network Corp CFD,DISH.NAS,US25470M1099
Electronic Arts CFD,EA.NAS,US2855121099
Ebay CFD,EBAY.NAS,US2786421030
Equinix CFD,EQIX.NAS,US29444U7000
Fox Corp - Class B CFD,FOX.NAS,US35137L2043
Fox Corp - Class A CFD,FOXA.NAS,US35137L1052
Gilead Sciences CFD,GILD.NAS,US3755581036
Alphabet Inc C CFD,GOOG.NAS,US02079K1079
Intel Corp CFD,INTC.NAS,US4581401001
Intuit CFD,INTU.NAS,US4612021034
Intuitive Surgical CFD,ISRG.NAS,US46120E6023
Kraft Heinz Co CFD,KHC.NAS,US5007541064
Marriott Intl CFD,MAR.NAS,US5719032022
Mondelez International CFD,MDLZ.NAS,US6092071058
Microsoft Corp CFD,MSFT.NAS,US5949181045
Micron Technology Inc CFD,MU.NAS,US5951121038
Netflix CFD,NFLX.NAS,US64110L1061
Nvidia Corp CFD,NVDA.NAS,US67066G1040
Pepsico CFD,PEP.NAS,US7134481081
Paypal Holdings Inc CFD,PYPL.NAS,US70450Y1038
Qualcomm CFD,QCOM.NAS,US7475251036
Regeneron Pharmaceuticals Inc CFD,REGN.NAS,US75886F1075
Starbucks Corp CFD,SBUX.NAS,US8552441094
Shire Plc ADR CFD,SHPG.NAS,
